23695,LINTERNA       MAGLITE ST2D016 2D REBEL,,54.2,130,1,408317118MAGL,9999,9999
23696,LINTERNA       MAGLITE ST3D016 3D REBEL,,55.81,134,1,408317119MAGL,9999,9999
23697,LLAVERO        VICTORINOX 4.1858 ACERO,,10.24,25,1,4.22E+12,9999,9999
23698,ENCENDEDOR     ZIPPO 28223,,14.68,36,1,1.70E+12,9999,9999
23699,ENCENDEDOR     ZIPPO 28335,,27.1,65,1,1.70E+12,9999,9999
23700,ENCENDEDOR     ZIPPO 28447,,28.21,68,1,170322833M233,9999,9999
23701,ENCENDEDOR     ZIPPO 28610,,33.31,80,1,1.70E+12,9999,9999
23702,ANTEOJOS       RUSTY BEE,,424,1050,1,012304008BEE.,9999,9999
23703,ANTEOJOS       RUSTY NUDIST POLARIZED,,338,820,1,012304007NUDP,9999,9999
23704,ANTEOJOS       RUSTY GARDEN,,423,1024,1,012304009GARD,9999,9999
23705,ANTEOJOS       RUSTY DOLLS,,290,720,1,012304010DOLL,9999,9999
23706,ANTEOJOS       RUSTY POMS,,424,1050,1,012304011POMS,9999,9999
23707,ANTEOJOS       RUSTY CLOTH,,424,1050,1,012304012CLOT,9999,9999
23708,ANTEOJOS       RUSTY EXILE,,290,720,1,012304013EXIL,9999,9999
23709,ANTEOJOS       RUSTY JACKY,,290,720,1,012304014JACK,9999,9999
23710,ANTEOJOS       RUSTY MARILYN,,290,720,1,012304015MARI,9999,9999
23711,ACC.PESCA      ESMERILLON ROSCO C/MOSQX5,,7.54,20,1,0083203051-6.,9999,9999
23712,ACC.PESCA      ESMERILLON ROSCO C/MOSQX5,,11.89,30,1,0083203062-7.,9999,9999
23713,SANDALIA       TIMBERL NEKKOL LADY,,566.7,1190,1,6963017015.0.,9999,9999
23714,SANDALIA       TIMBERL NEKKOL LADY,,566.7,1190,1,6963017019.0.,9999,9999
23715,HELADERA       LYF CAMPING MOCHILA,,125,275,1,265300801LYF.,9999,9999
23716,SILLON         DOITE DIREC.BASIN ACERO,,325.92,795,1,7.08E+12,9999,9999
23717,MOCHILA        OUTSIDE YAK 50,,1426,3100,1,46430200650LT,9999,9999
23718,CARPA          DOITE EVEREST,,4696.82,10350,1,1053155342PAX,9999,9999
23719,CARPA          DOITE YOSEMITE XR 5 PAX,,2764.33,6100,1,1053155355PAX,9999,9999
23720,MOCHILA        DOITE PRO MINARET 50LTS,,1416.08,3120,1,46431555250LT,9999,9999
23721,MOCHILA        DOITE TANGANIKA 80 LTS,,1809.35,3980,1,46431556680LT,9999,9999
23722,CARPA          DOITE HIGHLAND ALU.2 PAX,,2133.71,4695,1,1053155672PAX,9999,9999
23723,ACC.CAMPING    ESTACAS DOITE PLAST.X6,,50.89,130,1,83155118810,9999,9999
23724,MOCHILA        DOITE ANNAPURNA M.6696,,1994.73,4395,1,46431550460LT,9999,9999
23725,GORROS     I   NATWAY 008,,89.12,195,1,2.35E+11,9999,9999
23726,REEL           KUNNAN HART 3007,,438,970,1,6.64E+12,9999,9999
23727,REEL           KUNNAN HART 4007,,459,995,1,6.64E+12,9999,9999
23728,BOLSA DE DORMIR DOITE FREEDOM M.3366,,1930.09,4250,1,048315501-15.,9999,9999
23729,BOLSA DE DORMIR DOITE CYNAMON M.3361,,1190.42,2595,1,048315502-3..,9999,9999
23730,MOCHILA        DOITE LIRCAY 70 LTS,,1787.23,3950,1,46431557270LT,9999,9999
23731,REMERA         THERMOS.NEO.KAYAK WS0404,,46,111,1,671322202CXS.,9999,9999
23732,REMERA         THERMOS.NEO.KAYAK WS0404,,46,111,1,671322202M...,9999,9999
23733,REMERA         THERMOS.NEO.KAYAK WS0404,,46,111,1,671322202L...,9999,9999
23734,REMERA         THERMOS.NEO.KAYAK WS0404,,46,111,1,671322202XL..,9999,9999
23735,CALZA          THERMOS.DRYSKIN WS0796M,,33,80,1,082322205CXS.,9999,9999
23736,CALZA          THERMOS.DRYSKIN WS0796M,,33,80,1,082322205M...,9999,9999
23737,CALZA          THERMOS.DRYSKIN WS0796M,,33,80,1,082322205L...,9999,9999
23738,CALZA          THERMOS.DRYSKIN WS0796M,,33,80,1,082322205XL..,9999,9999
23739,SALVAVIDAS     THERMOS.KAYAK WS0887,,50.4,121,1,695322203CXS.,9999,9999
23740,SALVAVIDAS     THERMOS.KAYAK WS0887,,50.4,121,1,695322203M...,9999,9999
23741,SALVAVIDAS     THERMOS.KAYAK WS0887,,50.4,121,1,695322203L...,9999,9999
23742,SALVAVIDAS     THERMOS.KAYAK WS0887,,50.4,121,1,695322203XL..,9999,9999
23743,ANTEOJOS       RUSTY TETE,,424,1050,1,012304012TETE,9999,9999
23744,SANDALIA       HIPPO SOFT YACHT,,125,275,1,69630502033,9999,9999
23745,SANDALIA       HIPPO SOFT YACHT,,125,275,1,69630502034,9999,9999
23746,LINTERNA       WATER TACTICAL MINERO,,139,295,1,407312001H001,9999,9999
23747,LINTERNA        WATER TACTICAL MULTIFUN.,,139,295,1,407312002T006,9999,9999
23748,MANTAS         WATER DE EMERGENCIA 01,,38,85,1,437312001WATE,9999,9999
23749,ACC.CAMPING    WATER REP.INSECTOS MREO01,,266.42,595,1,008312035WATE,9999,9999
23750,BODYBOARD      BODYGLOVE METHOD 37,,270,649,1,4330650737,9999,9999
23751,REMERA LYC     SHOCK'N BLUE PRINT,,110,297,1,671306536CXS.,9999,9999
23752,REMERA LYC     SHOCK'N BLUE PRINT,,110,297,1,671306536M...,9999,9999
23753,REMERA LYC     SHOCK'N BLUE PRINT,,110,297,1,671306536L...,9999,9999
23754,REMERA LYC     SHOCK'N BLUE PRINT,,110,297,1,671306536XL..,9999,9999
23755,REMERA LYC     SHOCK'N BLUE PRINT KIDS,,89,242,1,671306576T.4.,9999,9999
23756,REMERA LYC     SHOCK'N BLUE PRINT KIDS,,89,242,1,671306576T.6.,9999,9999
23757,REMERA LYC     SHOCK'N BLUE PRINT KIDS,,89,242,1,671306576T.8.,9999,9999
23758,REMERA LYC     SHOCK'N BLUE PRINT KIDS,,89,242,1,671306576T.10,9999,9999
23759,ROLLER         SHOCK'N SPIN REG.36-39,,426,1095,1,682306557M...,9999,9999
23760,ROLLER         SHOCK'N SPIN REG.40-43,,426,1095,1,682306557L...,9999,9999
23761,ROLLER         SHOCK'N CRASH REG.35-38,,399,1045,1,682306558M...,9999,9999
23762,ROLLER         SHOCK'N CRASH REG.39-42,,399,1045,1,682306558L...,9999,9999
23763,ROLLER         SHOCK'N RUEDAS 80MM,,63,165,1,68230655880MM,9999,9999
23764,ROLLER         SHOCK'N SET PROTECCION,,132,352,1,6.82E+12,9999,9999
23765,CASCO          SHOCK'N BLUE P/ROLLERS,,132,352,1,112306550CXS.,9999,9999
23766,CASCO          SHOCK'N BLUE P/ROLLERS,,132,352,1,112306550M...,9999,9999
23767,CASCO          SHOCK'N BLUE P/ROLLERS,,132,352,1,112306550L...,9999,9999
23768,CASCO          SHOCK'N BLUE P/ROLLERS,,132,352,1,112306550XL..,9999,9999
23769,ACC.NAUTICO    PITA BG A BO BICEP,,84,215,1,63065013206,9999,9999
23770,TRAJE DE AGUA  BODY GLOVE SPRINT M/C 2/2,,622,1507,1,738106501XXL.,9999,9999
23771,ACC.CAMPING    ESTACAS EN U,,2.6,6,1,008317559X1UN,9999,9999
23772,CANOA          ATLANTI KAYAK ANGLERS,,5210,8520,1,0923245581PAX,9999,9999
23773,CANOA          ATLANTI KAYAK SIMPLO,,2110,3450,1,0923245571PAX,9999,9999
23774,MOCHILA        OUTSIDE EAGLE CREEK 30LTS,,676,1480,1,46430200130LT,9999,9999
23775,CAMPERA    B   OUTSIDE VADEO ULTREX TRI.,,1555,3695,1,090302039CXS.,9999,9999
23776,CAMPERA    B   OUTSIDE VADEO ULTREX TRI.,,1555,3695,1,090302039M...,9999,9999
