ID,NOMBRE,DESCRIPCION,COSTO,PRECIO,FK_MON,CODIGO,FK_PROV,FK_MARCA
13872,BINOCULARES    HOKENN PIONEER 10X50 BAK4,,572.12,1260,1,4.18E+11,9999,9999
13873,BRUJULA        WATER MC40-2 P/MAPAS,,47.43,95,1,065812022MAPA,9999,9999
13874,BRUJULA        WATER DC45-3C,,60.09,130,1,065812023MILI,9999,9999
13875,BRUJULA        WATER G45-B METALICA,,34.76,80,1,065812024MILI,9999,9999
13876,BRUJULA        WATER MC45-5D METALICA,,53.16,120,1,065812024MAPA,9999,9999
13877,BRUJULA        WATER G53 METALICA,,99.83,220,1,065812025MILI,9999,9999
13878,BRUJULA        WATER G40-B METALICA,,18.45,40,1,065812026MILI,9999,9999
13879,BRUJULA        WATER K273 PULSERA,,16.05,35,1,065812027MARC,9999,9999
13880,BRUJULA        WATER KC 297 LLAV.C/TERM,,9.48,20,1,065812028LLAV,9999,9999
13881,BRUJULA        WATER G53 METALICA,,59.03,130,1,065812025MILI,9999,9999
13882,SANDALIA       HATTON SUECOS,,90,198,1,69280500135,9999,9999
13883,SANDALIA       HATTON SUECOS,,90,198,1,69280500136,9999,9999
