ID,NOMBRE,DESCRIPCION,COSTO,PRECIO,FK_MON,CODIGO,FK_PROV,FK_MARCA
1,MASCARA        MASQUE  U.S.A.,,47.5,95,2,5250,9999,9999
2,TAPONES OIDO   OTOSAN,,4,0,2,7370,9999,9999
3,SKI.KA    1.70 DYNASTAR TEMPO,,47.5,95,2,6871,9999,9999
4,SKI.A          ATOMIC / VOLKL,,60,120,2,6875,9999,9999
5,BOTA.D    4    KOFLACH CE 190 L,,37.5,75,2,1901,9999,9999
6,SALVAVIDAS     ATUNAS (CINTURA),,15,30,2,6482,9999,9999
7,PORTA SKI      CANDADO COLLINS,,75,150,1,5681,9999,9999
8,GORROS     I   VARIOS OFERTA,,11.5,50,2,4858,9999,9999
9,VINCHA         SPOER BAND C/OREJERAS,,7.5,15,2,7535,9999,9999
10,AAAA           CARGA,,600,0,1,7987,9999,9999
11,GORROS     I   OUTSIDE (PAÑO),,97,195,2,4815,9999,9999
12,PORTA BOTAS    ALL-SHOP,,75,150,2,5680,9999,9999
13,PROTECTOR      RAYITO DE SOL,,6,12,2,3400,9999,9999
14,BOTA APRESKI C VARIAS,,15,75,2,1532,9999,9999
15,MEDIAS     IL  WIGWAM WYOMING,,19,38,2,5318,9999,9999
16,ENTERITO   B   NEVICA BOLAN 12,,75,150,2,4515,9999,9999
17,GORROS     I   SCI CORDEROY,,15,30,2,4836,9999,9999
18,POLERAS    C   BORDADA,,75,150,2,5629,9999,9999
19,VINCHA         FILA,,11.5,23,1,7515,9999,9999
20,REDONDEO,,0.08,0,1,7994,9999,9999
21,INSTALACION,,0,22,1,7993,9999,9999
22,TALLER,,1,35,1,7992,9999,9999
23,REPUES.Y REPA. VARIAS,,122.27,85,1,7990,9999,9999
24,GORROS     I   POLAR,,15,30,1,4820,9999,9999
25,PPANTALON  LA  SCHOELLER FUSEAU,,75,150,1,5822,9999,9999
26,VENTAS      USADOS,,0,0,1,7998,9999,9999
27,DESCUENTOS     VENTAS,,0,0,1,7991,9999,9999
28,PPJARDINERO TA NEVICA HOUSTON F 11,,147.5,295,2,6061,9999,9999
29,GUANTES    B   NORDICA 751/710/S3078,,47.5,95,2,5000,9999,9999
30,BOTA.YB  300   SALOMON SX 62 L,,50,90,2,3117,9999,9999
31,POLERAS    B   LAYER ONE,,90,180,2,5601,9999,9999
32,BOTA APRESKI B BONIS,,28,75,2,1531,9999,9999
33,GUMANOPLA  J   GATE,,22.5,45,2,5091,9999,9999
34,ACC.NAUTICO    QUILLA PLASTICA RIOSKI,,4,7,1,6345,9999,9999
35,PPANTALON  LA  OBERMEYER/SKI & CO TUBO,,75,150,2,5821,9999,9999
36,POLERAS    C   SUPPLY,,90,180,2,5640,9999,9999
37,PASAMONTAÑAS   GATOR THERMAX,,15,30,2,5465,9999,9999
38,PPJARDINERO TJ OBERMEYER ZONED 8/18,,147.5,295,1,6111,9999,9999
39,ENTERITO   B   NORDICA 120,,75,150,2,4521,9999,9999
40,PPANTALON  SB  NORDICA STRECH 165,,19,38,2,5857,9999,9999
41,GORROS     I   POLAR C/VISERA,,15,30,2,4821,9999,9999
42,ANTIPARRA      VUARNET,,447.5,895,1,390,9999,9999
43,GUANTES    PA  NORTHLITE POLAR,,27.5,0,2,5004,9999,9999
44,AAAAT          CARGA TECNICA,,0,0,1,7986,9999,9999
45,CAMPERA    J   K-WAY C/ESCOCES 8 - 14,,197.5,395,2,4148,9999,9999
46,CALZA      J   SEDA,,37.5,75,2,6455,9999,9999
47,CAMISETA   C   SEDA,,37.5,75,2,6440,9999,9999
48,SKI.LA    1.75 KASTLE CORA,,115,230,2,6890,9999,9999
49,PPANTALON  SA  NORDICA FUSEAU 495/550/73,,75,150,2,5856,9999,9999
50,BUZO       C   OUTSIDE VERMONT,,447.5,895,2,3524,9999,9999
51,ENTERITO   A   COLUMBIA CRITERION SUIT,,75,150,2,4460,9999,9999
52,POLERAS    B   CONTE 42901 VIOLETA,,90,180,2,5600,9999,9999
53,PPJARDINERO SA CONTE 54538 TOUSOU,,37.5,75,2,6010,9999,9999
54,JUEGO          PING-PONG RED,,30,60,1,5170,9999,9999
55,PALETA         PING-PONGDISNEY SCHILDKRO,,60,120,1,5410,9999,9999
56,PPANTALON  VC  OFERTAS VARIOS,,75,150,2,5985,9999,9999
57,GORROS     I   SILVY AB 065/018,,15,30,2,4844,9999,9999
58,GORROS     I   CONTE,,15,30,1,4730,9999,9999
59,GUANTES    PC  CONTE 81541 / 81721,,15,30,2,5026,9999,9999
60,POLERAS    B   MASER PROMOCION 4290,,90,180,2,5612,9999,9999
61,POLERAS    A   MASER PROMOCION 3292,,90,180,2,5597,9999,9999
62,POLERAS    A   MASER 3215,,75,150,2,5595,9999,9999
63,POLERAS    A   MASER 3229/3243,,90,180,2,5596,9999,9999
64,BUZO       C   KILLER LOOP 833,,115,230,2,3499,9999,9999
65,ENTERITO   A   NORDICA A4 400,,75,150,2,4480,9999,9999
66,GORROS     I   CAPO 6578,,15,30,1,4703,9999,9999
67,GORROS     I   CAPO 5574,,15,30,1,4701,9999,9999
68,GORROS     I   CAPO 6663/7121,,4,8,1,4704,9999,9999
69,GORROS     IJ  CAPO CAPELINA-C/VISERA,,15,30,1,4865,9999,9999
70,MEDIAS     IL  NORDICA,,15,30,2,5292,9999,9999
71,PPJARDINERO TB OBERMEYER ZONED,,115,230,2,6085,9999,9999
72,ANTEOJOS       K.L. SOUL -1288-1235-,,22.5,45,1,162,9999,9999
73,ANTEOJOS       K.L. MOMENTS-1291/92-TODO,,22.5,45,1,160,9999,9999
74,ANTEOJOS       K.L. CARVE/PROTOUR-LOOP,,27.3,39,2,163,9999,9999
75,ACC.ROLLER     FRENO U.WHEELS RAGE/IMPU,,11.5,23,1,15,9999,9999
76,BOTA NAUTICA   ALLEDA NEOPRENE.,,29,45,2,1480,9999,9999
77,PITA           X - M ESPIRAL,,65,130,2,5552,9999,9999
78,SALVAVIDAS     AQUATIC MERCANTE,,27.5,55,1,6481,9999,9999
79,RECARGO        FINANCIERO,,0,0,1,7995,9999,9999
80,CAMISETA   A   KOMBI,,45,90,1,6427,9999,9999
81,ANTEOJOS       SIMPSON METAL,,75,150,2,231,9999,9999
82,ENTERITO   B   COLMAR 1354,,75,150,2,4500,9999,9999
83,ENTERITO   B   COLMAR 1359,,75,150,2,4502,9999,9999
84,GUANTES    B   COLMAR 4915,,38,195,2,4976,9999,9999
85,GORROS     I   COLMAR POLAR 5035,,15,30,1,4720,9999,9999
86,BUZO       B   COLMAR 8321,,115,230,2,3443,9999,9999
87,BUZO       B   COLMAR 8312,,115,230,2,3442,9999,9999
88,PPJARDINERO TB COLMAR 1442/1443,,147.5,295,2,6075,9999,9999
89,PPANTALON  SA  COLMAR FUSEAU 0290/0291,,75,150,1,5840,9999,9999
90,BUZO       C   KILLER LOOP 013,,115,230,2,3498,9999,9999
91,BUZO       A   COLMAR 8323,,115,230,2,3482,9999,9999
92,MOCHILA        NORDICA 069,,30,60,1,1195,9999,9999
93,GORROS     I   KILLER LOOP 020/26/29/50,,32.5,65,2,4780,9999,9999
94,GUANTES    A   NORDICA S3 137,,30,60,2,4940,9999,9999
95,BUZO       A   NORDICA 425,,115,230,2,3512,9999,9999
96,MEDIAS     IH  ZZ WIGWAM COOLMAX THERMAX,,32.5,65,2,5357,9999,9999
97,PASAMONTAÑAS L WIGWAM ARCTIC,,22.5,45,2,5475,9999,9999
98,ACCESORIOS     IADA DESCONGELADOR PARAB.,,22.5,45,1,73,9999,9999
99,ACCESORIOS     IADA ANTIVAHO,,22.5,45,1,71,9999,9999
100,FIJACION   MA  MARKER M19 RACING EPS,,84,100,2,4592,9999,9999
101,FIJACION   MB  MARKER M9,,54,80,3,4593,9999,9999
102,ACCESORIOS     TOKO CERA W-CUP,,37.5,75,1,62,9999,9999
103,BUZO       C   KILLER LOOP 851,,115,230,2,3504,9999,9999
104,TAPONES OIDO   LEADER SILICONA X 4,,6,0,1,7372,9999,9999
105,POLERAS    B   MASER 4231/4232/4233/4216,,90,180,2,5611,9999,9999
106,PPJARDINERO SB KILLER LOOP XS/XXL,,75,150,2,6030,9999,9999
107,CAMISETA   A   DUOFOLD,,37.5,75,1,6428,9999,9999
108,MARMITA        DOITE 19 PIEZAS 6 PERS.,,315,630,2,5214,9999,9999
109,PPJARDINERO TB COLMAR 1444,,75,150,2,6076,9999,9999
110,GRIP           KENNEX,,7.5,15,1,4900,9999,9999
111,GUANTES    A   NORDICA  133,,10,20,2,4938,9999,9999
112,BUZO       C   KILLER LOOP 019,,115,230,2,3496,9999,9999
113,GUMANOPLA  PC  FILA POLAR,,7.5,15,2,5090,9999,9999
114,ANTEOJOS       BOLLE ROOKIE NEGRO MAT.ES,,450,990,1,118,9999,9999
115,GORROS     IJ  GARFIELD POLAR C/VISERA,,32.5,65,1,4874,9999,9999
116,GORROS     I   ANGORA,,15,30,1,4690,9999,9999
117,CALZA      J   DUOFOLD,,17.5,35,2,6453,9999,9999
118,CAMISETA   J   SEDA,,37.5,75,2,6460,9999,9999
119,GORROS     I   KANGOL FURGORA,,32.5,65,1,4757,9999,9999
120,CAMISETA   C   SENSOR LIGHT,,30,60,1,6432,9999,9999
121,CALZA      C   SENSOR LIGHT,,37.5,75,2,6412,9999,9999
122,MEDIAS     IL  WIGWAM SLALOM/SIROCCO,,18.5,37,2,5323,9999,9999
123,MEDIAS     IL  WIGWAM FREERIDE/TAN/RUGGE,,22.5,45,2,5322,9999,9999
124,CUELLOS    IP  ACCS BENISOQ,,22.5,45,2,4400,9999,9999
125,BUZO       C   OUTSIDE YOSEMITE,,447.5,895,1,3525,9999,9999
126,CAMPERA    B   SILVY 524/523,,75,150,2,4104,9999,9999
127,ENTERITO   A   SILVY V 147,,75,150,2,4494,9999,9999
128,BUZO       J   OUTSIDE LOOK,,447.5,895,1,3575,9999,9999
129,BOLSO BOTAS    EUROCAMPING,,197.5,395,1,1126,9999,9999
130,BUZO       J   OUTSIDE MARKER,,447.5,895,1,3576,9999,9999
131,VENTAS     ANTICIPADAS,,35,0,1,7997,9999,9999
132,REMERA         SANDSPIT,,47.5,95,2,6276,9999,9999
133,SHORT          SANDSPIT MEN,,37.5,0,2,6610,9999,9999
134,BERMUDA        SANDSPIT,,90,180,2,6670,9999,9999
135,SOMBRERO   V   SANDSPIT PLAYA,,35,70,2,7300,9999,9999
136,SHORT          NO FEAR 1355/76/77,,37.5,0,2,6567,9999,9999
137,CORTAPLUMA     BOKER 5001 C/VAINA Y CAJA,,19,38,2,4370,9999,9999
138,MEDIAS     IL  WIGWAM BUCKH/UNIFORM/BEAR,,7.5,15,2,5315,9999,9999
139,GORROS     I   KANGOL BOINA MONTY BERET,,11.5,23,2,4758,9999,9999
140,PALAS          WATERDOG REBATIBLE C/SERR,,19,40,2,5395,9999,9999
141,FRISBEE        MINI - FRESBEE U.S.A.,,1.13,2,2,4650,9999,9999
142,MEDIAS     IL  WIGWAM JOURNEY/MORAINE,,22.5,45,2,5317,9999,9999
143,LINTERNA       WATERDOG 833 WATER PROOF,,14,30,2,5207,9999,9999
144,SALVAVIDAS     STEARNS AUTOINF. PNA,,97.5,195,2,6490,9999,9999
145,RIÑONERA       NO FEAR TRECKING,,22.5,45,2,1361,9999,9999
146,CAMPERA    J   COLUMBIA BUGABOO BOYS,,190,380,2,4135,9999,9999
147,GUANTES    B   NORTHLAND,,65,0,2,5006,9999,9999
148,FIJACION   SA  SALOMON S 900 CARBON,,132,289,2,4615,9999,9999
149,FIJACION   SI  SALOMON Q 300,,50,90,3,4620,9999,9999
150,ENTERITO   A   NATURE NET SNOWTEC,,117,1890,2,4474,9999,9999
151,ENTERITO   B   NATURE NET SNOWTEC,,117,1890,2,4512,9999,9999
152,ENTERITO   J   NATURE NET SNOWTEC,,120,1290,2,4542,9999,9999
153,PPJARDINERO TJ NATURE NET CARVING,,52,100,2,6108,9999,9999
154,PPANTALON  AP  T.N.F. ALPINA POLAR,,45,90,1,8039,9999,9999
155,PPANTALON  SB  KILLER LOOP XS/XXL,,75,150,2,5858,9999,9999
156,CAMPERA    C   QUIKSILVER FISHER PRINCES,,400,890,2,4045,9999,9999
157,CALZA      J   DUOFOLD B,,37.5,75,2,6454,9999,9999
158,CAMPERA    C   RIP CURL 62 BDJ,,79.81,590,1,4060,9999,9999
159,SWEATER    C   HOT WINTER,,220,490,1,7345,9999,9999
160,GORROS     I   KANGOL 0093/8021/8570,,30,60,1,4770,9999,9999
161,CUELLOS    IP  T.N.F. POLAR 200,,19,38,2,4415,9999,9999
162,BOTA APRESKI A ITASCA 804030,,24.8,75,1,1521,9999,9999
163,BOTA APRESKI B ITASCA 804050,,27.2,75,1,1522,9999,9999
164,CHALECO    C   OUTSIDE YOSEMITE VEST,,360,880,2,4282,9999,9999
165,GUANTES    A   GATE INCLINE,,90,180,1,4929,9999,9999
166,BUZO       C   OUTSIDE MONTANA,,447.5,895,1,3526,9999,9999
167,CAMISETA   J   MEDALIST,,37.5,75,2,6466,9999,9999
168,CALZA      J   MEDALIST,,37.5,75,2,6459,9999,9999
169,BOLSA DE DORMIR WATERDOG PILOT 300,,240.35,530,1,1024,9999,9999
170,TRAJE DE LLUVIA WATERDOG T 33653 PVC/NYL,,76,170,1,7438,9999,9999
171,PROTECTOR      CLARK'S RODILLAS 603,,15,30,2,6138,9999,9999
172,CAMPERA    A   NATURE NET VERMONT COMBI,,450,0,1,3944,9999,9999
173,CAMPERA        AC OUTSIDE TIMBERLITE,,597.5,1195,2,3988,9999,9999
174,CAMPERA    A   NATURE NET MONTREAL LADY,,115,0,3,3941,9999,9999
175,CONGELANTE     IGLOO 0.47 L,,3.5,7,2,4349,9999,9999
176,SHORT          NO FEAR SALVA/S.BLAS/TAMA,,99,198,1,6571,9999,9999
177,SOMBRERO   I   NO FEAR CORDEROY,,12.5,25,1,7296,9999,9999
178,SOMBRERO   V   MAX FISHING HUT,,37.5,75,1,7290,9999,9999
179,MEDIAS     IL  WIGWAM COMPETITION/DOWHIL,,18.5,37,2,5328,9999,9999
180,CALENTADOR     MSR DRAGON FLY,,1147.5,2295,2,3687,9999,9999
181,CAMPERA    C   COLUMBIA H.ICEFIELD,,947.5,1895,2,3873,9999,9999
182,BOTA HIKING C  NO FEAR NAROK,,265,530,2,1641,9999,9999
183,PPJARDINERO TJ KROBNER EC JUNIOR,,340,750,1,580208752T.14,9999,9999
184,BUZO       C   OUTSIDE TAHOE,,255,595,1,3523,9999,9999
185,CAMPERA    C   OUTSIDE EAGLE,,450,990,2,4013,9999,9999
186,PPJARDINERO LA KILLER LOOP TUBO,,75,150,2,6000,9999,9999
187,MEDIAS     IL  WIGWAM SNOWBOAR. ASSAULT,,22.5,45,2,5340,9999,9999
188,GUMANOPLA  J   GATE RIDGELINE,,22.5,45,2,5092,9999,9999
189,GUANTES    B   GATE FORTUNA,,30,60,2,4987,9999,9999
190,CAMPERA    C   NO FEAR TETON,,297.5,595,2,3966,9999,9999
191,PPANTALON  TJ  SPORT USA SIDE ZIP,,70,140,1,8033,9999,9999
192,GUANTES    C   COLUMBIA BUGABOO,,195,395,1,4919,9999,9999
193,CAMPERA    C   RIP CURL 6 NOJ,,135.9,890,1,4051,9999,9999
194,CAMPERA    C   NATURE NET CARV.BLOUSON,,450,1190,1,3942,9999,9999
195,BUZO       C   NATURE NET,,37.5,0,2,3505,9999,9999
196,BUZO       C   NATURE NET CORDERO,,37.5,0,2,3506,9999,9999
197,BUZOS CAMPERA  C NATURE NET,,45,0,2,3650,9999,9999
198,BUZO       J   NATURE NET,,37.5,0,2,3579,9999,9999
199,CAMPERA    C   NATURE NET CARV.SKI LONG,,450,1190,1,3943,9999,9999
200,BOTA HIKING B  REEF HAAKEN,,265,530,2,1658,9999,9999
201,MEDIAS     VA  HI-TEC TREKKING,,6,12,2,5261,9999,9999
202,CORDON ANT.    MAX LEATHER,,6,12,1,4368,9999,9999
203,BUZOS CAMPERA  C OUTSIDE NORTHFACE,,690,1650,1,3641,9999,9999
204,GUANTES    PA  SWANY POLAR,,140,350,2,5031,9999,9999
205,GUANTES    A   ROSSIGNOL MISS,,52,995,2,4947,9999,9999
206,PPANTALON  SA  TONINI R ANCHO 845,,75,150,2,5845,9999,9999
207,PPANTALON  SA  TONINI R FUSEAU 843,,75,150,2,5846,9999,9999
208,PPJARDINERO SB TONINI R 871,,75,150,2,6020,9999,9999
209,SWEATER    C   HOT WINTER / SILVY,,37.5,75,1,8090,9999,9999
210,GORROS     I   TNF POLAR,,19,38,1,4850,9999,9999
211,POLERAS    C   MEDICO,,90,0,2,5614,9999,9999
212,POLERAS    C   MEDICO CON CIERRE,,90,350,3,5616,9999,9999
213,ANTIPARRA      CARRERA PRO OPTIC,,90,180,2,315,9999,9999
214,MEDIAS     IP  AIGLE POLAR,,67.5,0,2,5257,9999,9999
215,CAMPERA    A   AIGLE SHANON,,1225,0,3,3785,9999,9999
216,CAMPERA    A   AIGLE MAIRA,,1475,0,3,3786,9999,9999
217,CAMPERA    B   AIGLE BREVENT SIN POLAR,,1225,2490,3,3794,9999,9999
218,BUZOS CAMPERA  C AIGLE LEYSIN,,645,0,2,3600,9999,9999
219,MEDIAS     IP  STYLO POLAR,,27.5,55,2,5313,9999,9999
220,MEDIAS     IL  WIGWAM OUTDOOR THERMO PLU,,7.5,15,2,5329,9999,9999
221,MEDIAS     IH  ZZ WIGWAM LINER GOBI,,11.5,23,2,5354,9999,9999
222,GUMANOPLA  JP  GATE POLAR 0397,,60,120,1,5093,9999,9999
223,CAMISETA   C   DUOFOLD,,37.5,75,2,6467,9999,9999
224,SKI.Y     PR 8 SALOMON X-FREE 08 LITE,,224,275,2,7177,9999,9999
225,FIJACION   SA  SALOMON S 900,,135,150,2,4609,9999,9999
226,GUANTES    B   ROSSIGNOL FIRST,,450,995,1,5009,9999,9999
227,GUANTES    B   ROSSIGNOL DIRECT/EVOLUTIO,,52,995,2,5008,9999,9999
228,GUANTES    B   ROSSIGNOL TEAM GTX,,86,1590,2,5007,9999,9999
229,GUANTES    J   ROSSIGNOL DUAL,,40,780,2,5080,9999,9999
230,GUANTES    J   ROSSIGNOL TOP 6,,40,780,2,5081,9999,9999
231,CAMPERA    C   F 2 RANGER,,190,380,2,3923,9999,9999
232,CHALECO    C   F 2 PIANO,,60,120,2,4277,9999,9999
233,CAMPERA    C   OUTSIDE MOUNTAINLITE 3x1,,725,1450,2,4009,9999,9999
234,GUANTES    A   GATE 1115,,37.5,75,2,4930,9999,9999
235,CAMPERA    C   OUTSIDE TIMBERLITE-CHALEC,,725,1595,2,4007,9999,9999
236,ANTEOJOS       ARNETTE HOT CAKES,,147.5,295,1,8239,9999,9999
237,CALZA      J   CONFORT SKINS,,37.5,75,2,6452,9999,9999
238,CAMISETA   J   CONFORT SKINS,,12,195,2,6464,9999,9999
239,FIJACION   SW  SALOMON PLACA DEFLEX,,168,100,2,4626,9999,9999
240,MOCHILA        OUTSIDE PAMIR 50 L,,1113,2450,1,1211,9999,9999
241,MOCHILA        OUTSIDE EIGER 60 L,,1311,2880,2,1216,9999,9999
242,MOCHILA        OUTSIDE ROCKRAT 20 L,,564,1250,2,1213,9999,9999
243,CALENTADOR     MSR WHISPERLITE SHAKER,,975,2145,1,075707502WHIS,9999,9999
244,ALQUILER   EQUIPOS EN BARILOCHE,,0,0,1,7996,9999,9999
245,VENTAS      A TERCEROS,,0,0,1,7999,9999,9999
246,SHORT          Z GOTCHA BAMBU/CARGO,,37.5,0,2,6620,9999,9999
247,CAMPERA    A   KILLY DARTS 4 F 602,,225,450,2,3933,9999,9999
248,BOLETA ANULADA,,0,0,1,7988,9999,9999
249,CUBREMOCHILA   WATERDOG COVER L,,7.59,20,2,4385,9999,9999
250,MEDIAS     IL  WIGWAM S.TOE-CYPRESS-WOLF,,13.5,27,2,5326,9999,9999
251,MEDIAS     VA  WIGWAM HIKING,,19,38,2,5320,9999,9999
252,MEDIAS     IL  WIGWAM MOOSE/DAKOT/WANDER,,15,30,2,5327,9999,9999
253,CHEMISE        OAKLEY ICON,,177.27,390,2,4304,9999,9999
254,TERMO          IGLOO LEGEND 2 1.9 L,,22.5,45,1,7389,9999,9999
255,TERMO          IGLOO BEVERAGE F/C 3.8 L,,30,60,1,7390,9999,9999
256,LINTERNA       MAGLITE S3D015,,37.44,90,1,407717102MAGL,9999,9999
257,LINTERNA       MAGLITE S3D016,,38.63,80,2,5197,9999,9999
258,CAPA           WATERDOG,,18.99,40,1,4200,9999,9999
259,MARMITA        DOITE 15 PIEZAS 4 P.,,197.5,395,2,5215,9999,9999
260,BOTE           SEVYLOR K 55 KIT,,265,580,2,3397,9999,9999
261,CAMPERA        AC K-WAY 2000 7086,,60,120,2,3780,9999,9999
262,SHORT          SANDSPIT '99,,37.5,0,2,6611,9999,9999
263,COLCHONETA     OGS 3 POSICIONES 9284,,47.5,95,2,4331,9999,9999
264,BERMUDA        COLUMBIA ELCKORN,,90,180,1,6636,9999,9999
265,CAMPERA    A   AIGLE FERIA,,975,0,3,3790,9999,9999
266,MANILLAR       O`BRIEN 2 SECTION,,60,120,2,5240,9999,9999
267,MANILLAR       CABO S.L.TUBE,,20,33,2,5241,9999,9999
268,BUZOS CAMPERA  C PATAGONIA SYNCHILLA JKT,,265,530,2,3645,9999,9999
269,MOCHILA        OUTSIDE TIROL 55 L,,1220,2695,2,1219,9999,9999
270,CAMISA     B   COLUMBIA BAHAMA M/L,,47.5,95,2,3706,9999,9999
271,PPANTALON  AC  COLUMBIA ELKHORN,,75,150,2,5726,9999,9999
272,MEDIAS     VA  HI-TEC BASIC/SPORT,,7.5,15,2,5262,9999,9999
273,MEDIAS     VA  HI-TEC TREKKING/OUTDOOR,,7.5,15,2,5263,9999,9999
274,PPANTALON  AC  HI-TEC CARGO-HT 320,,32,42,2,5728,9999,9999
275,MARMITA        DOITE 8 PIEZAS 2 P,,135,270,2,5216,9999,9999
276,LIBROS         CARTA REFUGIOS SENDAS,,7.5,17,1,9353,9999,9999
277,PPANTALON  AC  COLUMBIA CHINO,,75,150,2,5724,9999,9999
278,CORTAPLUMA     BLAZER I GL 090,,15,30,2,4371,9999,9999
279,CORTAPLUMA     BLAZER C/LINTERNA GL 096,,15,30,2,4372,9999,9999
280,SANDALIA       REEF FORTE,,15,30,2,5385,9999,9999
281,SHORT          COLUMBIA WHIDBEY,,45,0,1,6535,9999,9999
282,REPARACION     VARIAS,,0,35,1,7989,9999,9999
283,SANDALIA       REEF LEATHER CHO,,22.5,45,2,5391,9999,9999
284,FAROL          DOITE DELUXE SHARK,,37.5,75,2,4575,9999,9999
285,MEDIAS     IH  ZZ WIGWAM ULTIMAX LINER,,11.5,23,2,5353,9999,9999
286,MEDIAS     IL  WIGWAM OUTDOORSMAN,,22.5,45,2,5331,9999,9999
287,CAMPERA    C   COLUMBIA BUGABOO TECH,,175,350,2,3870,9999,9999
288,BUZOS CAMPERA  J COLUMBIA W.CREEK 4/7,,190,380,2,3585,9999,9999
289,BUZOS CAMPERA  J COLUMBIA W.CREEK 8/11,,190,380,2,3586,9999,9999
290,PPANTALON  TJ  COLUMBIA FREESTYLE 4/18,,70,140,2,5971,9999,9999
291,CAMPERA    J   COLUMBIA CARIBOU I BO8/12,,190,380,2,4131,9999,9999
292,CAMPERA    A   COLUMBIA BUGABOO D,,375,750,2,3855,9999,9999
293,CAMPERA    J   COLUMBIA CHANDLER CAYON,,190,380,2,4133,9999,9999
294,GUANTES    PC  COLUMBIA WINTERTRAINER,,15,30,2,4918,9999,9999
295,BUZOS CAMPERA  J OUTSIDE MONTREAL,,575,1150,1,3589,9999,9999
296,CONJUNTO   C   OUTSIDE STARLITE,,725,1450,1,4354,9999,9999
297,PPANTALON  AP  OUTSIDE YOSEMITE,,265,530,2,5765,9999,9999
298,MOCHILA        OUTSIDE ANDES 30 L,,645,1420,2,1220,9999,9999
299,PPANTALON  TB  KROBNER/SUPLEX 40/52,,40,89,1,8305,9999,9999
300,MEDIAS     IL  WIGWAM TRAIL,,7.5,15,2,5316,9999,9999
301,BUZO       C   OUTSIDE OREGON,,447.5,895,2,3522,9999,9999
302,SOMBRERO   I   NO FEAR PILUSO C/GUARDA,,12.5,25,1,7294,9999,9999
303,SWEATER    C   NO FEAR DESERT,,60,120,1,7338,9999,9999
304,SWEATER    C   NO FEAR TIME,,60,120,1,7344,9999,9999
305,POLERAS    A   THERMASILK SEDA 100 %,,90,180,2,5585,9999,9999
306,POLERAS    B   THERMASILK SEDA 100 %,,90,180,2,5586,9999,9999
307,POLERAS    A   THERMASILK SEDA/ALG.,,90,180,2,5589,9999,9999
308,POLERAS    B   THERMASILK SEDA/ALG.,,90,180,2,5590,9999,9999
309,CAMPERA    B   RIP CURL GO HARD R 61 HRJ,,54.4,350,1,4065,9999,9999
310,CAMPERA    A   RIP CURL GO HARD BE 61GBJ,,52.8,135,1,4062,9999,9999
311,CAMPERA    J   R.CURL 720 61 STK,,40.8,105,2,4154,9999,9999
312,PPANTALON  TAS RIP CURL GIRLS INS 6 NGP,,82.4,210,2,5961,9999,9999
313,ANTEOJOS       BOLLE PIRAJA,,450,990,1,137,9999,9999
314,VINCHA         COLUMBIA BUGABAND,,7.5,15,1,7513,9999,9999
315,SWEATER    C   NO FEAR PISTOLS,,60,120,1,7330,9999,9999
316,GORROS     IJ  KROBNER POLAR BABY,,1,15,1,8334,9999,9999
317,PPANTALON  TJ  KROBNER ABRIGO TACTEL8/10,,5,13,1,8311,9999,9999
318,PPANTALON  AC  KROBNER OVER ADULTO,,4,9,1,8312,9999,9999
319,PPANTALON  AC  KROBNER OVER C/CIERRE,,10,23,1,8313,9999,9999
320,BUZO       C   KROBNER ROMPEVIENTOS,,68.18,150,1,8342,9999,9999
321,CUELLOS    IP  NORDICA POLAR,,11.5,23,2,4412,9999,9999
322,PPANTALON  LA  KILLER LOOP ANCHA OPACA,,75,150,1,5814,9999,9999
323,PPANTALON  LA  KILLER LOOP ANCHO,,75,150,1,5815,9999,9999
324,CAMPERA    B   AIGLE JOWOOD/LYNNWOOD,,1475,0,2,3803,9999,9999
325,CAMPERA    B   AIGLE ABISCO,,975,2490,3,3804,9999,9999
326,CAMPERA    A   AIGLE PADDINGTON,,745,0,3,3805,9999,9999
327,CAMPERA    B   AIGLE OAKRIDGE/LYNNWOOD,,1475,0,1,3806,9999,9999
328,CAMPERA    B   AIGLE FALSTER/LYNNWOOD,,1475,0,1,3807,9999,9999
329,CHALECO    A   AIGLE KITTEN,,1225,0,3,4271,9999,9999
330,CAMPERA    A   AIGLE ANDALOU,,975,0,2,3799,9999,9999
331,CUELLOS    IP  T.N.F. POLAR DOBLE,,19,38,2,4416,9999,9999
332,FIJACION   SA  SALOMON SP 900 EQUIPE ALI,,168,200,2,4611,9999,9999
333,GUANTES    C   NATURE NET C/REFUERZOS,,195,690,1,5002,9999,9999
334,CAMPERA    C   COLUMBIA AIR-WALP,,225,450,2,3876,9999,9999
335,CAMISETA   B   SENSOR MID,,30,60,1,6431,9999,9999
336,PPANTALON  SA  SCHOELER,,350,750,1,8306,9999,9999
337,SKI.JA    1.60 ROSSIGNOL SUPE CARVE 10.4,,167,300,2,6860,9999,9999
338,SKI.JA    1.60 ROSSIGNOL CUT 10.4,,129,250,2,6861,9999,9999
339,SKI.KA    1.70 ROSSIGNOL CUT 10.4,,129,250,2,6878,9999,9999
340,SKI.PA    1.84 ROSSIGNOL CUT Z 9.6,,129,150,2,6926,9999,9999
341,BOTA HIKING A  HI-TEC SIERRA LITE XT,,265,530,2,1613,9999,9999
342,BOTA HIKING  J HI-TEC ZENITH,,265,530,2,1742,9999,9999
343,CAMPERA    J   COLUMBIA GLACIER,,190,380,2,4137,9999,9999
344,SKI.Y     1.96 SALOMON EQUIPEAXE,,340,290,2,7103,9999,9999
